departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Honolulu,-157.871,21.531,United States,Tokyo,140.643,36.274,Japan,16,6103
Tokyo,140.643,36.274,Japan,Honolulu,-157.871,21.531,United States,16,6103
Tokyo,140.643,36.274,Japan,Seoul,126.75,37.781,South Korea,15,1243
Seoul,126.75,37.781,South Korea,Tokyo,140.643,36.274,Japan,15,1243
Tokyo,140.643,36.274,Japan,Los Angeles,-118.014,34.57,United States,15,8691
Los Angeles,-118.014,34.57,United States,Tokyo,140.643,36.274,Japan,15,8691
Hong Kong,114.524,22.514,Hong Kong,Bangkok,101.245,14.135,Thailand,14,1681
Bangkok,101.245,14.135,Thailand,Hong Kong,114.524,22.514,Hong Kong,14,1681
Taipei,121.388,25.129,Taiwan,Shanghai,122.342,31.238,China,14,685
Shanghai,122.342,31.238,China,Taipei,121.388,25.129,Taiwan,14,685
Kigali,30.232,-1.948,Rwanda,Entebbe,32.739,0.07,Uganda,14,357
Shanghai,122.342,31.238,China,Hong Kong,114.524,22.514,Hong Kong,14,1240
Hong Kong,114.524,22.514,Hong Kong,Shanghai,122.342,31.238,China,14,1240
Muscat,58.474,23.988,Oman,Abu Dhabi,55.085,24.721,United Arab Emirates,13,352
New York,-73.632,41.066,United States,London,-0.103,51.795,United Kingdom,13,5512
Abu Dhabi,55.085,24.721,United Arab Emirates,Muscat,58.474,23.988,Oman,13,352
Taipei,121.388,25.129,Taiwan,Tokyo,140.643,36.274,Japan,12,2212
Tokyo,140.643,36.274,Japan,Taipei,121.388,25.129,Taiwan,12,2212
Singapore,104.657,1.583,Singapore,Jakarta,107.093,-5.543,Indonesia,11,837
Jakarta,107.093,-5.543,Indonesia,Singapore,104.657,1.583,Singapore,11,837
Beijing,116.974,40.133,China,Tokyo,140.643,36.274,Japan,11,2105
Tokyo,140.643,36.274,Japan,Beijing,116.974,40.133,China,11,2105
London,-0.103,51.795,United Kingdom,Geneva,6.181,46.396,Switzerland,11,754
Geneva,6.181,46.396,Switzerland,London,-0.103,51.795,United Kingdom,11,754
Sao Paulo,-46.116,-23.054,Brazil,Buenos Aires,-58.227,-34.704,Argentina,11,1748
Buenos Aires,-58.227,-34.704,Argentina,Sao Paulo,-46.116,-23.054,Brazil,11,1748
Singapore,104.657,1.583,Singapore,Tokyo,140.643,36.274,Japan,11,5343
Tokyo,140.643,36.274,Japan,Singapore,104.657,1.583,Singapore,11,5343
Bahrain,51.056,26.451,Bahrain,Doha,51.941,25.435,Qatar,11,143
London,-0.103,51.795,United Kingdom,Frankfurt,8.905,50.044,Germany,11,660
Tenerife,-16.288,28.074,Spain,London,-0.103,51.795,United Kingdom,10,2961
London,-0.103,51.795,United Kingdom,Tenerife,-16.288,28.074,Spain,10,2961
Seoul,126.75,37.781,South Korea,Shanghai,122.342,31.238,China,10,831
Tokyo,140.643,36.274,Japan,Hong Kong,114.524,22.514,Hong Kong,10,2942
Hong Kong,114.524,22.514,Hong Kong,Tokyo,140.643,36.274,Japan,10,2942
Shanghai,122.342,31.238,China,Tokyo,140.643,36.274,Japan,10,1778
Tokyo,140.643,36.274,Japan,Shanghai,122.342,31.238,China,10,1778
Malaga,-4.166,37.124,Spain,London,-0.103,51.795,United Kingdom,10,1662
London,-0.103,51.795,United Kingdom,Stockholm,18.531,60.086,Sweden,10,1473
Stockholm,18.531,60.086,Sweden,London,-0.103,51.795,United Kingdom,10,1473
Auckland,175.319,-36.347,New Zealand,Sydney,151.295,-33.911,Australia,10,2195
Madrid,-3.278,40.822,Spain,London,-0.103,51.795,United Kingdom,10,1243
London,-0.103,51.795,United Kingdom,Madrid,-3.278,40.822,Spain,10,1243
London,-0.103,51.795,United Kingdom,Amsterdam,5.273,52.514,Netherlands,10,375
Jakarta,107.093,-5.543,Indonesia,Kuala Lumpur,102.183,3.242,Malaysia,10,1118
Amsterdam,5.273,52.514,Netherlands,London,-0.103,51.795,United Kingdom,10,375
Kigali,30.232,-1.948,Rwanda,Nairobi,37.545,-0.866,Kenya,10,821
Zurich,8.915,47.774,Switzerland,London,-0.103,51.795,United Kingdom,10,785
London,-0.103,51.795,United Kingdom,Zurich,8.915,47.774,Switzerland,10,785
Frankfurt,8.905,50.044,Germany,London,-0.103,51.795,United Kingdom,10,660
Chicago,-87.842,42.631,United States,Paris,2.916,49.021,France,10,6635
London,-0.103,51.795,United Kingdom,New York,-73.632,41.066,United States,10,5512
Doha,51.941,25.435,Qatar,Bahrain,51.056,26.451,Bahrain,10,143
Paris,2.916,49.021,France,Chicago,-87.842,42.631,United States,10,6635
Chicago,-87.842,42.631,United States,London,-0.103,51.795,United Kingdom,10,6296
London,-0.103,51.795,United Kingdom,Chicago,-87.842,42.631,United States,10,6296
London,-0.103,51.795,United Kingdom,Los Angeles,-118.014,34.57,United States,10,8676
Los Angeles,-118.014,34.57,United States,London,-0.103,51.795,United Kingdom,10,8676
Shanghai,122.342,31.238,China,Macau,113.985,22.249,Macau,10,1298
Macau,113.985,22.249,Macau,Shanghai,122.342,31.238,China,10,1298
Osaka,135.406,34.724,Japan,Seoul,126.75,37.781,South Korea,10,846
Seoul,126.75,37.781,South Korea,Bangkok,101.245,14.135,Thailand,10,3637
Seoul,126.75,37.781,South Korea,Osaka,135.406,34.724,Japan,10,846
Bangkok,101.245,14.135,Thailand,Seoul,126.75,37.781,South Korea,10,3637
Singapore,104.657,1.583,Singapore,Kuala Lumpur,102.183,3.242,Malaysia,10,331
Singapore,104.657,1.583,Singapore,Hong Kong,114.524,22.514,Hong Kong,10,2559
Kuala Lumpur,102.183,3.242,Malaysia,Singapore,104.657,1.583,Singapore,10,331
Hong Kong,114.524,22.514,Hong Kong,Singapore,104.657,1.583,Singapore,10,2559
Shanghai,122.342,31.238,China,Seoul,126.75,37.781,South Korea,9,831
Tokyo,140.643,36.274,Japan,Bangkok,101.245,14.135,Thailand,9,4617
Bangkok,101.245,14.135,Thailand,Tokyo,140.643,36.274,Japan,9,4617
Guangzhou,113.497,23.654,China,Bangkok,101.245,14.135,Thailand,9,1666
Bangkok,101.245,14.135,Thailand,Guangzhou,113.497,23.654,China,9,1666
London,-0.103,51.795,United Kingdom,BarcelonaS,2.13,41.495,Spain,9,1157
London,-0.103,51.795,United Kingdom,Malaga,-4.166,37.124,Spain,9,1662
BarcelonaS,2.13,41.495,Spain,London,-0.103,51.795,United Kingdom,9,1157
Sydney,151.295,-33.911,Australia,Auckland,175.319,-36.347,New Zealand,9,2195
Kuala Lumpur,102.183,3.242,Malaysia,Bangkok,101.245,14.135,Thailand,9,1215
Bangkok,101.245,14.135,Thailand,Kuala Lumpur,102.183,3.242,Malaysia,9,1215
London,-0.103,51.795,United Kingdom,Dublin,-5.784,53.702,Ireland,9,437
Kuala Lumpur,102.183,3.242,Malaysia,Jakarta,107.093,-5.543,Indonesia,9,1118
Bujumbura,29.53,-2.874,Burundi,Nairobi,37.545,-0.866,Kenya,9,918
Munich,12.31,48.589,Germany,London,-0.103,51.795,United Kingdom,9,951
London,-0.103,51.795,United Kingdom,Munich,12.31,48.589,Germany,9,951
Calgary,-113.368,51.189,Canada,London,-0.103,51.795,United Kingdom,9,6967
Sydney,151.295,-33.911,Australia,Los Angeles,-118.014,34.57,United States,9,12115
Paris,2.916,49.021,France,Newark,-73.615,41.154,United States,9,5813
London,-0.103,51.795,United Kingdom,Calgary,-113.368,51.189,Canada,9,6967
London,-0.103,51.795,United Kingdom,Newark,-73.615,41.154,United States,9,5505
Los Angeles,-118.014,34.57,United States,Sydney,151.295,-33.911,Australia,9,12115
Newark,-73.615,41.154,United States,Paris,2.916,49.021,France,9,5813
Newark,-73.615,41.154,United States,London,-0.103,51.795,United Kingdom,9,5505
Auckland,175.319,-36.347,New Zealand,Melbourne,145.405,-37.456,Australia,9,2651
San Francisco,-121.959,38.031,United States,London,-0.103,51.795,United Kingdom,9,8548
London,-0.103,51.795,United Kingdom,San Francisco,-121.959,38.031,United States,9,8548
Singapore,104.657,1.583,Singapore,Bangkok,101.245,14.135,Thailand,9,1445
Bangkok,101.245,14.135,Thailand,Singapore,104.657,1.583,Singapore,9,1445
Ouagadougou,-1.188,12.588,Burkina Faso,Cotonou,2.64,6.595,Benin,9,787
Cotonou,2.64,6.595,Benin,Ouagadougou,-1.188,12.588,Burkina Faso,9,787
Singapore,104.657,1.583,Singapore,Denpasar,115.278,-8.581,Indonesia,8,1631
Denpasar,115.278,-8.581,Indonesia,Singapore,104.657,1.583,Singapore,8,1631
London,-0.103,51.795,United Kingdom,Las Palmas,-13.343,29.575,Spain,8,2701
London,-0.103,51.795,United Kingdom,Alicante,-0.264,38.47,Spain,8,1481
Alicante,-0.264,38.47,Spain,London,-0.103,51.795,United Kingdom,8,1481
Las Palmas,-13.343,29.575,Spain,London,-0.103,51.795,United Kingdom,8,2701
Istanbul,29.357,41.628,Turkey,Tehran,51,35,Iran,8,2020
Tehran,51,35,Iran,Istanbul,29.357,41.628,Turkey,8,2020
Beijing,116.974,40.133,China,Seoul,126.75,37.781,South Korea,8,884
Seoul,126.75,37.781,South Korea,Beijing,116.974,40.133,China,8,884
Sharm El Sheikh,34.658,28.628,Egypt,London,-0.103,51.795,United Kingdom,8,3854
London,-0.103,51.795,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,8,3854
Singapore,104.657,1.583,Singapore,Brisbane,153.195,-26.974,Australia,8,6086
London,-0.103,51.795,United Kingdom,Copenhagen,13.093,56.029,Denmark,8,981
Copenhagen,13.093,56.029,Denmark,London,-0.103,51.795,United Kingdom,8,981
Brisbane,153.195,-26.974,Australia,Singapore,104.657,1.583,Singapore,8,6086
San Francisco,-121.959,38.031,United States,Seoul,126.75,37.781,South Korea,8,9039
Seoul,126.75,37.781,South Korea,San Francisco,-121.959,38.031,United States,8,9039
Kuwait,48.614,29.377,Kuwait,Bahrain,51.056,26.451,Bahrain,8,404
Dublin,-5.784,53.702,Ireland,London,-0.103,51.795,United Kingdom,8,437
Bahrain,51.056,26.451,Bahrain,Kuwait,48.614,29.377,Kuwait,8,404
Toronto,-79.385,44.128,Canada,London,-0.103,51.795,United Kingdom,8,5667
Vancouver,-122.641,49.323,Canada,London,-0.103,51.795,United Kingdom,8,7530
Mexico City,-98.454,19.727,Mexico,Los Angeles,-118.014,34.57,United States,8,2534
Melbourne,145.405,-37.456,Australia,Auckland,175.319,-36.347,New Zealand,8,2651
London,-0.103,51.795,United Kingdom,Toronto,-79.385,44.128,Canada,8,5667
London,-0.103,51.795,United Kingdom,Vancouver,-122.641,49.323,Canada,8,7530
London,-0.103,51.795,United Kingdom,Boston,-70.342,42.607,United States,8,5192
Los Angeles,-118.014,34.57,United States,Mexico City,-98.454,19.727,Mexico,8,2534
Boston,-70.342,42.607,United States,London,-0.103,51.795,United Kingdom,8,5192
London,-0.103,51.795,United Kingdom,Larnaca,34.041,35.458,Cyprus,8,3248
Larnaca,34.041,35.458,Cyprus,London,-0.103,51.795,United Kingdom,8,3248
San Francisco,-121.959,38.031,United States,Hong Kong,114.524,22.514,Hong Kong,8,11069
London,-0.103,51.795,United Kingdom,Washington,-77.094,39.574,United States,8,5844
Washington,-77.094,39.574,United States,London,-0.103,51.795,United Kingdom,8,5844
Hong Kong,114.524,22.514,Hong Kong,San Francisco,-121.959,38.031,United States,8,11069
Douala,10.199,4.01,Cameroon,Bangui,18.864,4.664,Central African Republic,8,963
Bangui,18.864,4.664,Central African Republic,Douala,10.199,4.01,Cameroon,8,963
Moscow,38.51,55.681,Russia,Kiev,31.491,50.575,Ukraine,8,735
Kiev,31.491,50.575,Ukraine,Moscow,38.51,55.681,Russia,8,735
Dar Es Salaam,39.337,-6.797,Tanzania,Nairobi,37.545,-0.866,Kenya,7,688
Tenerife,-16.288,28.074,Spain,Manchester,-1.792,53.589,United Kingdom,7,3074
Manchester,-1.792,53.589,United Kingdom,Tenerife,-16.288,28.074,Spain,7,3074
London,-0.103,51.795,United Kingdom,Gran Canaria,-14.978,28.553,Spain,7,2864
Gran Canaria,-14.978,28.553,Spain,London,-0.103,51.795,United Kingdom,7,2864
Ho Chi Minh City,107.086,11.364,Vietnam,Bangkok,101.245,14.135,Thailand,7,704
Bangkok,101.245,14.135,Thailand,Ho Chi Minh City,107.086,11.364,Vietnam,7,704
