departure city,arrival city,number of routes,distance
Honolulu,Tokyo,16,6103
Tokyo,Honolulu,16,6103
Tokyo,Seoul,15,1243
Seoul,Tokyo,15,1243
Tokyo,Los Angeles,15,8691
Los Angeles,Tokyo,15,8691
Hong Kong,Bangkok,14,1681
Bangkok,Hong Kong,14,1681
Taipei,Shanghai,14,685
Shanghai,Taipei,14,685
Kigali,Entebbe,14,357
Shanghai,Hong Kong,14,1240
Hong Kong,Shanghai,14,1240
Muscat,Abu Dhabi,13,352
New York,London,13,5512
Abu Dhabi,Muscat,13,352
Taipei,Tokyo,12,2212
Tokyo,Taipei,12,2212
Singapore,Jakarta,11,837
Jakarta,Singapore,11,837
Beijing,Tokyo,11,2105
Tokyo,Beijing,11,2105
London,Geneva,11,754
Geneva,London,11,754
Sao Paulo,Buenos Aires,11,1748
Buenos Aires,Sao Paulo,11,1748
Singapore,Tokyo,11,5343
Tokyo,Singapore,11,5343
Bahrain,Doha,11,143
London,Frankfurt,11,660
Tenerife,London,10,2961
London,Tenerife,10,2961
Seoul,Shanghai,10,831
Tokyo,Hong Kong,10,2942
Hong Kong,Tokyo,10,2942
Shanghai,Tokyo,10,1778
Tokyo,Shanghai,10,1778
Malaga,London,10,1662
London,Stockholm,10,1473
Stockholm,London,10,1473
Auckland,Sydney,10,2195
Madrid,London,10,1243
London,Madrid,10,1243
London,Amsterdam,10,375
Jakarta,Kuala Lumpur,10,1118
Amsterdam,London,10,375
Kigali,Nairobi,10,821
Zurich,London,10,785
London,Zurich,10,785
Frankfurt,London,10,660
Chicago,Paris,10,6635
London,New York,10,5512
Doha,Bahrain,10,143
Paris,Chicago,10,6635
Chicago,London,10,6296
London,Chicago,10,6296
London,Los Angeles,10,8676
Los Angeles,London,10,8676
Shanghai,Macau,10,1298
Macau,Shanghai,10,1298
Osaka,Seoul,10,846
Seoul,Bangkok,10,3637
Seoul,Osaka,10,846
Bangkok,Seoul,10,3637
Singapore,Kuala Lumpur,10,331
Singapore,Hong Kong,10,2559
Kuala Lumpur,Singapore,10,331
Hong Kong,Singapore,10,2559
Shanghai,Seoul,9,831
Tokyo,Bangkok,9,4617
Bangkok,Tokyo,9,4617
Guangzhou,Bangkok,9,1666
Bangkok,Guangzhou,9,1666
London,BarcelonaS,9,1157
London,Malaga,9,1662
BarcelonaS,London,9,1157
Sydney,Auckland,9,2195
Kuala Lumpur,Bangkok,9,1215
Bangkok,Kuala Lumpur,9,1215
London,Dublin,9,437
Kuala Lumpur,Jakarta,9,1118
Bujumbura,Nairobi,9,918
Munich,London,9,951
London,Munich,9,951
Calgary,London,9,6967
Sydney,Los Angeles,9,12115
Paris,Newark,9,5813
London,Calgary,9,6967
London,Newark,9,5505
Los Angeles,Sydney,9,12115
Newark,Paris,9,5813
Newark,London,9,5505
Auckland,Melbourne,9,2651
San Francisco,London,9,8548
London,San Francisco,9,8548
Singapore,Bangkok,9,1445
Bangkok,Singapore,9,1445
Ouagadougou,Cotonou,9,787
Cotonou,Ouagadougou,9,787
Singapore,Denpasar,8,1631
Denpasar,Singapore,8,1631
London,Las Palmas,8,2701
London,Alicante,8,1481
Alicante,London,8,1481
Las Palmas,London,8,2701
Istanbul,Tehran,8,2020
Tehran,Istanbul,8,2020
Beijing,Seoul,8,884
Seoul,Beijing,8,884
Sharm El Sheikh,London,8,3854
London,Sharm El Sheikh,8,3854
Singapore,Brisbane,8,6086
London,Copenhagen,8,981
Copenhagen,London,8,981
Brisbane,Singapore,8,6086
San Francisco,Seoul,8,9039
Seoul,San Francisco,8,9039
Kuwait,Bahrain,8,404
Dublin,London,8,437
Bahrain,Kuwait,8,404
Toronto,London,8,5667
Vancouver,London,8,7530
Mexico City,Los Angeles,8,2534
Melbourne,Auckland,8,2651
London,Toronto,8,5667
London,Vancouver,8,7530
London,Boston,8,5192
Los Angeles,Mexico City,8,2534
Boston,London,8,5192
London,Larnaca,8,3248
Larnaca,London,8,3248
San Francisco,Hong Kong,8,11069
London,Washington,8,5844
Washington,London,8,5844
Hong Kong,San Francisco,8,11069
Douala,Bangui,8,963
Bangui,Douala,8,963
Moscow,Kiev,8,735
Kiev,Moscow,8,735
Dar Es Salaam,Nairobi,7,688
Tenerife,Manchester,7,3074
Manchester,Tenerife,7,3074
London,Gran Canaria,7,2864
Gran Canaria,London,7,2864
Ho Chi Minh City,Bangkok,7,704
Bangkok,Ho Chi Minh City,7,704
Dubai,Muscat,7,330
Monrovia,Accra,7,1142
Accra,Monrovia,7,1142
Sydney,Christchurch,7,2131
Christchurch,Sydney,7,2131
Hong Kong,Hangzhou,7,1070
Hangzhou,Hong Kong,7,1070
Malta,London,7,2073
London,Malta,7,2073
Kilimanjaro,Mombasa,7,320
Entebbe,Kigali,7,357
Sydney,Bangkok,7,7520
Nice,London,7,1019
Lisbon,London,7,1534
London,Lisbon,7,1534
London,Dubai,7,5482
London,Nice,7,1019
London,Faro,7,1754
Faro,London,7,1754
Dubai,London,7,5482
Bangkok,Sydney,7,7520
Rome,London,7,1411
Auckland,Brisbane,7,2331
Madrid,Lisbon,7,480
Madrid,Amsterdam,7,1452
Lisbon,Madrid,7,480
Madrid,Paris,7,1033
New York,Frankfurt,7,6170
Frankfurt,New York,7,6170
Paris,Madrid,7,1033
Montreal,Paris,7,5516
SantiagoC,Buenos Aires,7,1161
Luanda,Kinshasa,7,592
Kinshasa,Douala,7,1080
Kinshasa,Brussels,7,6255
Buenos Aires,SantiagoC,7,1161
Douala,Kinshasa,7,1080
Conakry,Banjul,7,521
Paris,Montreal,7,5516
Brussels,Luanda,7,6751
Brussels,Kigali,7,6409
Banjul,Conakry,7,521
Abidjan,Lome,7,593
Berlin,London,7,929
Paris,London,7,375
London,Berlin,7,929
London,Paris,7,375
Toronto,Chicago,7,703
Toronto,New York,7,580
Vancouver,Los Angeles,7,1683
Montreal,New York,7,524
Taipei,Los Angeles,7,10892
San Francisco,Tokyo,7,8181
SantiagoC,Lima,7,2477
Tokyo,New York,7,10732
Miami,London,7,7052
London,Montreal,7,5191
London,Miami,7,7052
London,Houston,7,7688
London,Atlanta,7,6714
Los Angeles,Vancouver,7,1683
Los Angeles,Taipei,7,10892
Los Angeles,Guadalajara,7,2127
Los Angeles,Auckland,7,10476
New York,Toronto,7,580
New York,Montreal,7,524
New York,Tokyo,7,10732
New York,Paris,7,5820
Houston,London,7,7688
Tokyo,San Francisco,7,8181
Guadalajara,Los Angeles,7,2127
Frankfurt,Dallas-fort Worth,7,8188
Dallas-fort Worth,Frankfurt,7,8188
Atlanta,London,7,6714
Kathmandu,Delhi,7,827
Delhi,Kathmandu,7,827
Nairobi,Dar Es Salaam,7,688
Moscow,Berlin,7,1642
Berlin,Moscow,7,1642
Jeddah,Dubai,7,1701
Dubai,Jeddah,7,1701
Taipei,Singapore,7,3174
Singapore,Taipei,7,3174
Singapore,Manila,7,2325
Manila,Singapore,7,2325
Ouagadougou,Niamey,7,401
Niamey,Ouagadougou,7,401
Douala,Cotonou,7,884
Cotonou,Douala,7,884
Seoul,Fukuoka,6,555
Fukuoka,Seoul,6,555
Lisbon,BarcelonaS,6,936
BarcelonaS,Lisbon,6,936
Vienna,Moscow,6,1687
Moscow,Vienna,6,1687
Manchester,Alicante,6,1685
Alicante,Manchester,6,1685
Kuwait,Dubai,6,818
Dubai,Kuwait,6,818
Colombo,Male,6,800
Wellington,Sydney,6,2252
Chicago,Amsterdam,6,6574
Freeport,Fort Lauderdale,6,141
Freetown,Banjul,6,649
Fort Lauderdale,Freeport,6,141
Banjul,Freetown,6,649
Amsterdam,Chicago,6,6574
Accra,Lome,6,118
Surabaya,Singapore,6,1351
Singapore,Surabaya,6,1351
Los Angeles,Guatemala City,6,3531
Guatemala City,Los Angeles,6,3531
Brisbane,Auckland,6,2331
Shanghai,Nagoya,6,1467
Beijing,Hong Kong,6,1972
Tokyo,Guangzhou,6,2952
Nagoya,Shanghai,6,1467
Hong Kong,Beijing,6,1972
Guangzhou,Tokyo,6,2952
Taipei,Seoul,6,1495
Seoul,Taipei,6,1495
Entebbe,Addis Ababa,6,1289
