City,Country,Continent,Longitude,Latitude
Kabul,Afghanistan,Asia,69.353,34.943
Mazar-i-sharif,Afghanistan,Asia,67.349,37.178
Kandahar,Afghanistan,Asia,66.413,31.842
Tirana,Albania,Europe,20.2,41.691
Oran,Algeria,Africa,-0.369,36.039
Algier,Algeria,Africa,3.359,37.151
Annaba,Algeria,Africa,8.348,37.37
Tlemcen,Algeria,Africa,-1.084,35.027
Setif,Algeria,Africa,5.54,36.296
Constantine,Algeria,Africa,7.033,36.46
Biskra,Algeria,Africa,6.23,35.322
Batna,Algeria,Africa,6.514,36.253
Bejaja,Algeria,Africa,5.116,37.186
Hassi-messaoud,Algeria,Africa,6.234,32.121
Pago Pago,American Samoa,NorthAmerica,-170.518,-13.885
Luanda,Angola,Africa,13.385,-8.764
Lubango,Angola,Africa,13.958,-14.875
The Valley,Anguilla,NorthAmerica,-62.426,18.341
Antigua,Antigua and Barbuda,NorthAmerica,-61.655,17.227
Buenos Aires,Argentina,SouthAmerica,-58.227,-34.704
Mendoza,Argentina,SouthAmerica,-68.655,-32.72
Cordoba,Argentina,SouthAmerica,-63.68,-30.873
Rosario,Argentina,SouthAmerica,-60.642,-32.84
Rio Gallegos,Argentina,SouthAmerica,-68.855,-51.349
Iguazu Falls,Argentina,SouthAmerica,-54.123,-25.563
Salta,Argentina,SouthAmerica,-65.144,-24.76
Yerevan,Armenia,Europe,44.659,40.245
Gyumri,Armenia,Europe,44.432,41.25
Oranjestad,Aruba,NorthAmerica,-69.359,12.835
Sydney,Australia,Oceania,151.295,-33.911
Brisbane,Australia,Oceania,153.195,-26.974
Melbourne,Australia,Oceania,145.405,-37.456
Perth,Australia,Oceania,116.611,-31.901
Adelaide,Australia,Oceania,138.884,-34.909
Coolangatta,Australia,Oceania,153.841,-27.608
Cairns,Australia,Oceania,146.258,-16.81
Darwin,Australia,Oceania,131.454,-12.014
NewcastleA,Australia,Oceania,152.383,-32.634
Port Hedland,Australia,Oceania,119.043,-19.963
Vienna,Austria,Europe,16.949,48.183
Salzburg,Austria,Europe,13.007,48.322
Graz,Austria,Europe,15.732,47.651
Innsbruck,Austria,Europe,11.573,47.433
Klagenfurt,Austria,Europe,14.562,47.07
Linz,Austria,Europe,14.312,48.388
Baku,Azerbaijan,Europe,50.077,40.779
Ganja,Azerbaijan,Europe,46.529,41.229
Nakhchivan,Azerbaijan,Europe,45.764,39.314
Freeport,Bahamas,NorthAmerica,-78.493,26.931
Nassau,Bahamas,NorthAmerica,-77.111,25.064
Marsh Harbor,Bahamas,NorthAmerica,-76.473,26.852
Treasure Cay,Bahamas,NorthAmerica,-76.986,27.242
Governor's Harbor,Bahamas,NorthAmerica,-75.886,25.474
Great Exuma,Bahamas,NorthAmerica,-75.797,23.937
North Eleuthera,Bahamas,NorthAmerica,-76.473,25.791
Alice Town,Bahamas,NorthAmerica,-78.775,26.166
Cockburn Town,Bahamas,NorthAmerica,-74.207,24.105
Rock Sound,Bahamas,NorthAmerica,-75.63,25.486
Chub Cay,Bahamas,NorthAmerica,-77.802,25.695
Andros Town,Bahamas,NorthAmerica,-77.66,25.163
Bahrain,Bahrain,Asia,51.056,26.451
Dhaka,Bangladesh,Asia,90.662,24.405
Chittagong,Bangladesh,Asia,92.355,22.416
Sylhet Osmani,Bangladesh,Asia,92.444,25.605
Bridgetown,Barbados,NorthAmerica,-59.155,13.124
Minsk 2,Belarus,Europe,28.051,54.47
Brussels,Belgium,Europe,4.807,51.502
Charleroi,Belgium,Europe,4.756,50.765
Liege,Belgium,Europe,5.738,51.062
Antwerp,Belgium,Europe,4.767,51.315
Belize City,Belize,NorthAmerica,-87.848,17.898
Cotonou,Benin,Africa,2.64,6.595
Bermuda,Bermuda,NorthAmerica,-64.465,32.606
Thimphu,Bhutan,Asia,89.707,27.671
Santa Cruz,Bolivia,SouthAmerica,-62.559,-17.408
La PazB,Bolivia,SouthAmerica,-67.654,-16.189
Cochabamba,Bolivia,SouthAmerica,-65.629,-17.036
Sarajevo,Bosnia and Herzegovina,Europe,18.552,44.374
Banja Luka,Bosnia and Herzegovina,Europe,17.495,45.569
Gaberone,Botswana,Africa,26.53,-24.259
Maun,Botswana,Africa,23.718,-19.955
Francistown,Botswana,Africa,27.79,-20.6
Kasane,Botswana,Africa,25.27,-17.722
Sao Paulo,Brazil,SouthAmerica,-46.116,-23.054
Rio De Janeiro,Brazil,SouthAmerica,-42.74,-22.682
Porto Alegre,Brazil,SouthAmerica,-50.62,-29.991
Manaus,Brazil,SouthAmerica,-59.417,-2.398
Florianopolis,Brazil,SouthAmerica,-48.246,-27.451
Belo Horizonte,Brazil,SouthAmerica,-43.949,-19.39
Brasilia,Brazil,SouthAmerica,-47.865,-15.786
Campinas,Brazil,SouthAmerica,-46.558,-22.346
Porto Velho,Brazil,SouthAmerica,-63.838,-8.516
Cuiaba,Brazil,SouthAmerica,-55.528,-15.422
Vilhena,Brazil,SouthAmerica,-59.498,-12.491
Campo Grande,Brazil,SouthAmerica,-54.455,-20.115
Fortaleza,Brazil,SouthAmerica,-38.221,-3.628
Salvador,Brazil,SouthAmerica,-37.886,-12.852
Belem,Brazil,SouthAmerica,-48.128,-0.966
Recife,Brazil,SouthAmerica,-34.872,-7.545
Natal,Brazil,SouthAmerica,-34.747,-5.853
Foz Do Iguacu,Brazil,SouthAmerica,-54.146,-25.327
Curitiba,Brazil,SouthAmerica,-48.627,-25.215
Roadtown/beef Island,British Virgin Islands,NorthAmerica,-64.239,18.741
Brunei,Brunei,Asia,115.547,5.573
Sofia,Bulgaria,Europe,23.676,43.158
Bourgas,Bulgaria,Europe,27.858,42.949
Plovdiv,Bulgaria,Europe,25.418,42.113
Ouagadougou,Burkina Faso,Africa,-1.188,12.588
Bobo-dioulasso,Burkina Faso,Africa,-3.885,11.266
Yangon,Burma,Asia,96.222,17.512
Mandalay,Burma,Asia,96.629,22.17
Bujumbura,Burundi,Africa,29.53,-2.874
Phnom-penh,Cambodia,Asia,105.406,11.91
Siem-reap,Cambodia,Asia,104.354,13.684
Douala,Cameroon,Africa,10.199,4.01
Yaounde,Cameroon,Africa,11.922,4.204
Calgary,Canada,NorthAmerica,-113.368,51.189
Toronto,Canada,NorthAmerica,-79.385,44.128
Vancouver,Canada,NorthAmerica,-122.641,49.323
Montreal,Canada,NorthAmerica,-73.569,45.784
Ottawa,Canada,NorthAmerica,-75.449,45.537
Halifax,Canada,NorthAmerica,-63.182,45.468
Edmonton,Canada,NorthAmerica,-113.3,53.516
Victoria,Canada,NorthAmerica,-123.044,49.078
Winnipeg,Canada,NorthAmerica,-96.734,50.516
Regina,Canada,NorthAmerica,-104.444,50.719
Saskatoon,Canada,NorthAmerica,-106.5,52.284
Quebec,Canada,NorthAmerica,-70.989,47.318
Moncton,Canada,NorthAmerica,-64.465,46.187
Abbotsford,Canada,NorthAmerica,-121.935,49.042
Prince George,Canada,NorthAmerica,-122.465,54.482
Thunder Bay,Canada,NorthAmerica,-88.874,48.619
Comox,Canada,NorthAmerica,-124.812,50.184
Kelowna,Canada,NorthAmerica,-118.963,50.593
HamiltonC,Canada,NorthAmerica,-79.892,43.289
St. John's,Canada,NorthAmerica,-52.587,48.031
Mont-Tremblant,Canada,NorthAmerica,-74.634,46.682
Mackenzie British Columbia,Canada,NorthAmerica,-122.473,55.499
Sao Vicente Island,Cape Verde,Africa,-24.425,17.389
Amilcar Cabral,Cape Verde,Africa,-22.916,17.235
"Praia,Santiago Island",Cape Verde,Africa,-23.156,15.54
Boa Vista,Cape Verde,Africa,-22.815,16.227
GeorgetownC,Cayman Islands,NorthAmerica,-80.93,19.487
Cayman Barac,Cayman Islands,NorthAmerica,-79.805,20.144
Bangui,Central African Republic,Africa,18.864,4.664
N'djamena,Chad,Africa,15.056,12.222
SantiagoC,Chile,SouthAmerica,-70.644,-32.989
Arica,Chile,SouthAmerica,-69.898,-17.915
Antofagasta,Chile,SouthAmerica,-70.076,-23.075
Punta Arenas,Chile,SouthAmerica,-70.758,-52.338
Iquique,Chile,SouthAmerica,-69.636,-20.226
Easter Island,Chile,SouthAmerica,-109.037,-26.608
Shanghai,China,Asia,122.342,31.238
Beijing,China,Asia,116.974,40.133
