City,Country
Denver,United States
Dallas/Fort Worth,United States
Dhahran,Saudi Arabia
Dakar,Senegal
Denpasar,Indonesia
Des Moines,United States
Detroit,United States
Dublin,Ireland
DusseldorfW,West Germany
El Paso,United States
Erie,United States
Eugene,United States
Evansville,United States
Newark,United States
Ezeiza,Argentina
Faro,Portugal
Fargo,United States
Oslo,Norway
RomeI,Italy
Fort de France,Martinique
Fort Lauderdale,United States
Fortaleza,Brazil
Freeport,The Bahamas
FrankfurtW,West Germany
Sioux Falls,United States
Fukuoka,Japan
Fort Wayne,United States
Grand Cayman,Cayman Islands
Guadalajara,Mexico
Grand Turk,Turks and Caicos Islands
Spokane,United States
GeorgetownG,Guyana
Governors Harbour,The Bahamas
Rio de Janeiro,Brazil
Glasgow,United Kingdom
Grenada,Grenada
Genoa,Italy
Gothenburg,Sweden
Green Bay,United States
Sao Paulo,Brazil
Greensboro/High Point,United States
Guatemala City,Guatemala
Guam,United States
Geneva,Switzerland
Guayaquil,Ecuador
Guaymas,Mexico
HamburgW,West Germany
Havana,Cuba
Hobart,Australia
Helsinki,Finland
Hong Kong,Hong Kong
Hermosillo,Mexico
Tokyo,Japan
Honolulu,United States
Houston,United States
Harlingen/San Benito,United States
Huntsville,United States
Santa Cruz/Huatulco,Mexico
Washington,United States
Indianapolis,United States
Nauru,Nauru
Iquitos,Peru
Islamabad,Pakistan
Istanbul,Turkey
Jacksonville,United States
Jeddah,Saudi Arabia
New York,United States
Johnston Island,United States
Abidjan,Cote d'Ivoire
Albuquerque,United States
Acapulco,Mexico
Atlantic City,United States
Adelaide,Australia
San Andres Island,Colombia
Malaga,Spain
Auckland,New Zealand
Albany,United States
Amarillo,United States
Amman,Jordan
Amsterdam,Netherlands
Anchorage,United States
St. Johns,Antigua and Barbuda
Apia,Samoa
Arica,Chile
Stockholm,Sweden
Asuncion,Paraguay
Athens,Greece
Atlanta,United States
Aruba,Aruba
Austin,United States
Akita,Japan
Kalamazoo,United States
Barranquilla,Colombia
BarcelonaS,Spain
HamiltonB,Bermuda
Hartford,United States
BelgradeY,Yugoslavia
Belem,Brazil
Barbados/Bridgetown,Barbados
Bangor,United States
BirminghamUS,United States
Biak,Indonesia
Bangkok,Thailand
Nashville,United States
Brisbane,Australia
Bordeaux,France
Bogota,Colombia
Bombay,India
BonaireN,Netherlands Antilles
Boston,United States
Brussels,Belgium
Burlington,United States
Buffalo,United States
Burbank,United States
Baltimore,United States
Belize City,Belize
Columbia,United States
Cairo,Egypt
Cayenne,French Guiana
Caracas,Venezuela
Calcutta,India
Paris,France
Jakarta,Indonesia
CologneW,West Germany
Chattanooga,United States
Ciudad Juarez,Mexico
Cleveland,United States
Port Angeles,United States
Cali,Colombia
Charlotte,United States
Casablanca,Morocco
Cairns,Australia
Copenhagen,Denmark
Cartagena,Colombia
Sapporo,Japan
Cancun,Mexico
WillemstadN,Netherlands Antilles
Cincinnati,United States
Christmas Island,Kiribati
Cozumel,Mexico
Daytona Beach,United States
Damascus,Syria
Dayton,United States
DubrovnikY,Yugoslavia
Delhi,India
Nantes,France
Oakland,United States
Okinawa,Japan
Oklahoma City,United States
Omaha,United States
Ontario,United States
Porto,Portugal
Chicago,United States
Norfolk,United States
Osaka,Japan
Bucharest,Romania
Port-au-Prince,Haiti
West Palm Beach/Palm Beach,United States
Zanderij,Suriname
Ponta Delgada,Portugal
Portland,United States
Pereira,Colombia
Beijing,China
Perth,Australia
Philadelphia,United States
Phoenix,United States
St. PetersburgU,United States
Glasgow/Prestwick,United Kingdom
Pittsburgh,United States
Providenciales,Turks and Caicos Islands
Pohnpei,Federated States of Micronesia
Port Moresby,Papua New Guinea
Puerto Plata,Dominican Republic
Port of Spain,Trinidad and Tobago
Pago Pago,United States
Papeete,French Polynesia
PragueCS,Czechoslovakia
Palm Springs,United States
Pointe A Pitre,Guadeloupe
Panama CityP,Panama
Punta Cana,Dominican Republic
Providence,United States
Puerto Vallarta,Mexico
Avarua,Cook Islands
Bend/Redmond,United States
Raleigh/Durham,United States
Recife,Brazil
Richmond,United States
Reno,United States
Roanoke,United States
Monrovia,Liberia
Rochester,United States
KororU,United States
Fort Myers,United States
Riyadh,Saudi Arabia
San SalvadorE,El Salvador
San Diego,United States
San Pedro Sula,Honduras
San Antonio,United States
SantiagoCh,Chile
Santo Domingo,Dominican Republic
Seattle,United States
Seoul,South Korea
San Francisco,United States
Keflavik/Reykjavik,Iceland
Karachi,Pakistan
KingstonJ,Jamaica
Kosrae,Federated States of Micronesia
Kuala Lumpur,Malaysia
Kwajalein,Marshall Islands
Kuwait,Kuwait
Lansing,United States
La PazM,Mexico
Las Vegas,United States
Los Angeles,United States
Lubbock,United States
La Ceiba,Honduras
LondonU,United Kingdom
Lahore,Pakistan
Lille,France
Lima,Peru
Lisbon,Portugal
Los Mochis,Mexico
Klamath Falls,United States
Lagos,Nigeria
La PazB,Bolivia
Loreto,Mexico
Lusaka,Zambia
Lyon,France
Madras,India
Madrid,Spain
Midland/Odessa,United States
Majuro,Marshall Islands
ManchesterUK,United Kingdom
Manaus,Brazil
Maracaibo,Venezuela
Montego Bay,Jamaica
Kansas City,United States
Orlando,United States
Medellin,Colombia
Harrisburg,United States
MelbourneA,Australia
Memphis,United States
Mexico City,Mexico
Mission/McAllen/Edinburg,United States
Medford,United States
Managua,Nicaragua
Miami,United States
Merida,Mexico
Milwaukee,United States
Mulhouse,France
Manila,Philippines
Montpellier,France
Marseille,France
Madison,United States
Minneapolis,United States
New Orleans,United States
Monterrey,Mexico
MunichW,West Germany
Milan,Italy
Mazatlan,Mexico
Nadi,Fiji
Nassau,The Bahamas
Nice,France
Nagoya,Japan
Myrtle Beach,United States
Greer,United States
White Plains,United States
Jackson/Vicksburg,United States
Komatsu,Japan
Singaua,Papua New Guinea
Shanghai,China
Sal Island,Cape Verde
Singapore,Singapore
San JoseU,United States
San Jose del Cabo,Mexico
San JoseC,Costa Rica
San Juan,United States
St. Kitts,Saint Kitts and Nevis
Salt Lake City,United States
San Luis Potosi,Mexico
Sacramento,United States
Shannon,Ireland
Saipan,United States
Sarasota/Bradenton,United States
Salvador,Brazil
St. Louis,United States
StuttgartW,West Germany
Charlotte Amalie,United States
Sun Valley/Hailey/Ketchum,United States
MoscowU,U.S.S.R.
Strasbourg,France
PhilipsburgN,Netherlands Antilles
SydneyA,Australia
Syracuse,United States
Tobago,Trinidad and Tobago
Tonga Tapu,Tonga
Lajes,Portugal
Tenerife,Spain
Tegucigalpa,Honduras
Chuuk,Federated States of Micronesia
Tallahassee,United States
Toulouse,France
Tel Aviv,Israel
Tampa,United States
Taipei,Taiwan
Turin,Italy
Tulsa,United States
Tumut,Australia
Tucson,United States
Knoxville,United States
Quito,Ecuador
St. Lucia,Saint Lucia
Venice,Italy
Vienna,Austria
Santa Cruz,Bolivia
Warsaw,Poland
West End,The Bahamas
Yap,Federated States of Micronesia
Edmonton,Canada
HamiltonC,Canada
Halifax,Canada
Kamloops,Canada
Kelowna,Canada
Montreal,Canada
Ottawa,Canada
Quebec,Canada
Regina,Canada
Gander,Canada
Vancouver,Canada
Winnipeg,Canada
Saskatoon,Canada
LondonC,Canada
Calgary,Canada
Victoria,Canada
Goose Bay,Canada
Toronto,Canada
Zagreb,Yugoslavia
Zacatecas,Mexico
Ixtapa/Zihuatanejo,Mexico
Manzanillo,Mexico
Zurich,Switzerland
Camp Springs,United States
BarcelonaV,Venezuela
Bristol/Johnson City/Kingsport,United States
Windsor,Canada
St. John's,Canada
Allentown/Bethlehem/Easton,United States
BirminghamUK,United Kingdom
Bismarck/Mandan,United States
Leon/Guanajuato,Mexico
Bellingham,United States
Charleston,United States
Columbus,United States
Pilot Point,United States
Porlamar,Venezuela
Louisville,United States
Sanford,United States
Surfers Paradise,Australia
Shreveport,United States
BerlinB,Berlin
Bari,Italy
Champaign/Urbana,United States
Fayetteville,United States
Newcastle,United Kingdom
Pittsburg,United States
RamsteinW,West Germany
Cardiff,United Kingdom
Dover,United States
Hakodate,Japan
Miyazaki,Japan
Kumamoto,Japan
Margarita Island,Venezuela
Rock Sound,The Bahamas
Salamo,Papua New Guinea
Savannah,United States
San Luis Obispo,United States
Santa Maria,Portugal
Santa Ana,United States
TbilisiU,U.S.S.R.
Treasure Cay,The Bahamas
Fort McMurray,Canada
Lethbridge,Canada
Belfast,United Kingdom
Budapest,Hungary
Colorado Springs,United States
Christiansted,United States
Prince George,Canada
Billings,United States
Bozeman,United States
Mosinee,United States
Saginaw/Bay City/Midland,United States
North Kingstown,United States
Oita,Japan
Wichita,United States
Barquisimeto,Venezuela
Baton Rouge,United States
Cochabamba,Bolivia
DerbyU,United Kingdom
Liverpool,United Kingdom
Mobile,United States
RigaU,U.S.S.R.
Salem,United States
Newburgh/Poughkeepsie,United States
Takamatsu,Japan
Iqaluit,Canada
Bucaramanga,Colombia
Banjul,The Gambia
Comox,Canada
Saint John,Canada
Charlottetown,Canada
Aguascalientes,Mexico
The Valley,Anguilla
Bergen,Norway
Barrow,United States
Belo Horizonte,Brazil
La Romana,Dominican Republic
Luxembourg,Luxembourg
Mayaguez,United States
Malmo,Sweden
Missoula,United States
Glenormiston,Australia
HannoverW,West Germany
Long Beach,United States
Tarawa,Kiribati
Virgin Gorda,British Virgin Islands
Jerez de la Frontera,Spain
Connaught,Ireland
Obihiro,Japan
Ostend,Belgium
Boise,United States
Aguadilla,United States
Road Town,British Virgin Islands
Gdansk,Poland
Yellowknife,Canada
Natal,Brazil
Nordholz,West Germany
Cork,Ireland
Oshkosh,United States
Palermo,Italy
Pensacola,United States
Porto Alegre,Brazil
Sendai,Japan
Grand Junction,United States
Grand Rapids,United States
Balboa,Panama
Shaoguan,China
Niigata,Japan
Kagoshima,Japan
Narsarsuaq,Greenland
ValenciaV,Venezuela
Santiago de Compostela,Spain
Santa Rosa de Copan,Honduras
Stephenville,Canada
North Bend/Coos Bay,United States
Curitiba,Brazil
Florianopolis,Brazil
Grandview,United States
CologneG,Germany
DusseldorfG,Germany
FrankfurtG,Germany
HamburgG,Germany
Hagerstown,United States
Hiroshima,Japan
StuttgartG,Germany
Sioux City,United States
BerlinG,Germany
Lincoln,United States
MunichG,Germany
Christchurch,New Zealand
Cedar Rapids/Iowa City,United States
Eagle,United States
Oaxaca,Mexico
HannoverG,Germany
Terre Haute,United States
Islip,United States
Okayama,Japan
Peoria,United States
Ponce,United States
Marrakech,Morocco
South Bend,United States
Timisoara,Romania
Grande Prairie,Canada
Manama,Bahrain
Billund,Denmark
ManchesterUS,United States
Toluca,Mexico
Cold Bay,United States
Ashland,United States
Niagara Falls,United States
Little Rock,United States
KororP,Palau
Aomori,Japan
Abu Dhabi,United Arab Emirates
Asheville,United States
Armenia,Colombia
Bakersfield,United States
Brownsville,United States
Brasilia,Brazil
Bratislava,Slovakia
Johannesburg,South Africa
Nanortalik,Greenland
Kiev,Ukraine
Kaohsiung,Taiwan
Khabarovsk,Russia
Kona,United States
Larnaca,Cyprus
St. PetersburgR,Russia
Laredo,United States
Muscat,Oman
Marsh Harbour,The Bahamas
Roatan Island,Honduras
Springfield,United States
Sofia,Bulgaria
MoscowR,Russia
Toledo,United States
Veracruz,Mexico
Vladivostok,Russia
Moncton,Canada
Accra,Ghana
