Source,Dest,Count
com,com,196043188
de,de,43150983
com,org,25435321
net,com,20719014
org,com,19858135
com,net,16143830
nl,nl,9551679
org,org,9162907
com,uk,8934267
uk,uk,8605811
ru,ru,8321687
info,com,6519950
pl,pl,6490027
uk,com,6274407
com,jp,5818976
de,com,5281331
com,de,4878472
jp,jp,4100250
info,info,4074933
net,net,3813238
it,it,3722768
cz,cz,3536749
com,info,3500097
net,org,3378357
com,fr,3257204
jp,com,3057422
fr,com,2985652
at,at,2886911
nl,com,2785743
au,au,2716293
com,cn,2597943
ch,ch,2595762
com,ca,2528668
com,au,2525469
br,br,2445739
com,edu,2384537
ca,com,2259885
org,net,2252311
it,com,2134253
cn,com,2108961
hu,hu,2054029
com,it,1959760
com,us,1934319
com,gov,1878455
se,se,1824126
fr,fr,1812511
us,com,1774415
com,ru,1634670
pl,com,1619364
biz,com,1593767
net,jp,1542128
au,com,1526914
ru,com,1500772
com,pl,1461786
edu,com,1451531
com,nl,1442517
dk,dk,1433625
es,com,1387273
com,es,1364609
cn,cn,1340393
de,org,1325294
net,de,1321058
ca,ca,1300119
com,biz,1276454
nz,nz,1271318
org,uk,1256889
org,de,1256057
ro,ro,1246729
be,be,1204439
uk,org,1126669
ar,ar,1091496
net,uk,1077874
edu,org,1014815
br,com,967615
de,net,930724
org,edu,928763
info,org,912230
com,br,909444
eu,com,866330
info,net,864853
se,com,857509
be,com,800926
es,es,775280
no,no,765424
com,ch,743719
com,se,733916
ua,ua,713534
jp,net,694135
info,de,687269
ch,com,678648
org,gov,671802
com,eu,658583
ru,ua,657274
ar,com,645797
net,info,644930
eu,de,643479
com,nz,637437
cz,com,622937
info,pl,594901
net,ru,569033
hu,com,564925
com,be,563942
de,eu,558799
com,ar,557834
com,tv,550614
org,jp,546231
fi,fi,544632
uk,net,539719
ua,ru,534199
tv,com,531564
com,in,530891
za,za,529429
in,com,525799
dk,com,522990
at,com,519850
nz,com,515485
net,pl,510906
com,at,502573
ro,com,500718
ca,org,493414
us,org,483630
info,uk,471395
it,org,465241
fr,org,460799
info,jp,456183
nl,org,446109
net,fr,443908
org,fr,440098
org,info,431915
de,info,416621
de,at,410168
net,it,408651
org,us,408632
org,ca,407268
com,tr,403152
com,za,397448
be,nl,389743
net,cn,388602
org,it,383875
at,de,383110
com,dk,382114
com,cz,373908
nl,be,369124
sk,sk,362456
com,ro,357726
com,ua,355215
de,ch,352060
info,ru,348451
com,ie,340304
org,ru,334184
eu,pl,333890
net,cz,331841
za,com,330010
pl,org,328468
fr,net,325331
no,com,323095
it,net,321676
ch,de,320116
nl,net,317814
org,au,316809
gr,gr,312828
net,nl,308144
ua,com,307366
tw,tw,305205
jp,org,301081
net,edu,298799
biz,net,292774
com,no,291800
us,us,288916
ru,net,278198
net,biz,277562
com,cc,275663
au,org,275616
org,pl,273011
ws,com,272487
net,au,270439
me,com,270282
ru,org,266896
pl,net,265925
cc,com,264879
il,il,258102
fi,com,255926
cn,net,254465
com,mx,251301
com,fi,250916
lt,lt,247375
nl,de,246747
es,org,246194
com,tw,243985
ie,com,241631
com,hu,233175
edu,edu,231158
net,ca,229948
pl,eu,229076
ie,ie,225230
org,nl,222409
net,us,218442
com,gr,216742
gr,com,214432
in,in,212298
com,co,208587
com,ws,207459
com,me,207140
gov,org,204826
mx,mx,201514
eu,org,200986
biz,org,197784
nu,com,195540
info,fr,194953
br,org,192994
org,es,192900
mx,com,190254
cl,cl,187434
com,il,186748
gov,com,184469
eu,eu,184034
ir,ir,182787
de,uk,182606
info,nl,179823
tw,com,178602
net,es,176107
com,pt,174887
net,gov,174323
ch,org,170560
pt,com,169720
org,biz,169106
biz,jp,168966
tr,com,168047
pl,info,167529
tr,tr,166366
us,net,165341
se,org,164779
info,biz,164576
il,com,163447
cl,com,159271
info,cz,158993
com,sg,158131
nu,se,152762
ph,com,151451
es,net,151139
eu,cz,150722
biz,biz,150247
com,cl,149612
ca,net,147196
be,org,146378
ir,com,145460
com,kr,145447
jp,info,144598
kr,kr,143026
org,cn,141553
eu,nl,140344
pt,pt,138547
cz,eu,136857
com,th,135678
co,com,135154
net,br,134608
org,ch,132118
name,com,131828
su,ru,131527
com,hk,131359
com,ir,130724
uk,info,130496
ru,info,129908
eu,net,129518
