date,rate
2/1/1976,4.25192
3/1/1976,0.31432
4/1/1976,-1.2992
5/1/1976,-2.09059
6/1/1976,0.64848
7/1/1976,3.10364
8/1/1976,-4.02378
9/1/1976,4.88328
10/1/1976,-5.08744
11/1/1976,3.74093
12/1/1976,9.15731
1/1/1977,-1.25379
2/1/1977,2.25408
3/1/1977,3.11824
4/1/1977,-0.19618
5/1/1977,-1.00319
6/1/1977,-0.2328
7/1/1977,-1.81868
8/1/1977,1.27219
9/1/1977,-1.47708
10/1/1977,1.66036
11/1/1977,-0.7925
12/1/1977,2.72992
1/1/1978,-9.83839
2/1/1978,4.76226
3/1/1978,5.33324
4/1/1978,7.08849
5/1/1978,0.46329
6/1/1978,0.24005
7/1/1978,-4.92816
8/1/1978,3.91091
9/1/1978,-9.44756
10/1/1978,8.4255
11/1/1978,-2.44299
12/1/1978,-1.17216
1/1/1979,-1.43541
2/1/1979,1.57254
3/1/1979,-0.11443
4/1/1979,-3.60536
5/1/1979,-2.36298
6/1/1979,-11.47787
7/1/1979,10.91159
8/1/1979,2.09306
9/1/1979,-0.32859
10/1/1979,-8.74364
11/1/1979,-0.51834
12/1/1979,4.19199
1/1/1980,6.94802
2/1/1980,-8.13319
3/1/1980,-9.0229
4/1/1980,-13.55429
5/1/1980,-8.70759
6/1/1980,9.35553
7/1/1980,11.78666
8/1/1980,-4.57781
9/1/1980,-2.19153
10/1/1980,4.93316
11/1/1980,-1.18428
12/1/1980,-2.68749
1/1/1981,2.96697
2/1/1981,9.78615
3/1/1981,0.56949
4/1/1981,-16.19204
5/1/1981,-0.74422
6/1/1981,0.68074
7/1/1981,0.0098
8/1/1981,22.05565
9/1/1981,-12.79602
10/1/1981,-15.226
11/1/1981,0.92301
12/1/1981,-4.78804
1/1/1982,13.85467
2/1/1982,6.45161
3/1/1982,-2.49883
4/1/1982,-8.75968
5/1/1982,14.24379
6/1/1982,-13.57798
7/1/1982,1.75159
8/1/1982,2.024
9/1/1982,12.05645
10/1/1982,-8.91586
11/1/1982,18.88588
12/1/1982,-6.68296
1/1/1983,-3.47693
2/1/1983,-2.311
3/1/1983,3.74485
4/1/1983,6.23154
5/1/1983,3.11115
6/1/1983,7.7539
7/1/1983,-0.40673
8/1/1983,-5.37972
9/1/1983,1.74303
10/1/1983,6.89346
11/1/1983,-1.5569
12/1/1983,10.69075
1/1/1984,-1.96106
2/1/1984,0.94299
3/1/1984,-1.15357
4/1/1984,0.90929
5/1/1984,3.37023
6/1/1984,-1.20118
7/1/1984,0.42379
8/1/1984,-3.10619
9/1/1984,-2.45609
10/1/1984,4.97731
11/1/1984,0.7112
12/1/1984,-0.95541
1/1/1985,6.70348
2/1/1985,1.09401
3/1/1985,-2.48186
4/1/1985,1.16287
5/1/1985,0.30215
6/1/1985,-3.07793
7/1/1985,2.85135
8/1/1985,9.26948
9/1/1985,13.08243
10/1/1985,-26.16832
11/1/1985,3.21164
12/1/1985,7.35366
1/1/1986,2.5606
2/1/1986,-4.15056
3/1/1986,-8.10525
4/1/1986,12.07914
5/1/1986,2.94627
6/1/1986,-2.50031
7/1/1986,-1.06158
8/1/1986,9.94764
9/1/1986,24.75603
10/1/1986,-31.59606
11/1/1986,0.19978
12/1/1986,22.25507
1/1/1987,-31.64436
2/1/1987,22.0074
3/1/1987,1.26096
4/1/1987,0.99887
5/1/1987,-5.82844
6/1/1987,7.40741
7/1/1987,0.20207
8/1/1987,9.19854
9/1/1987,-5.7548
10/1/1987,-11.66245
11/1/1987,1.80322
12/1/1987,7.92156
1/1/1988,2.70939
2/1/1988,2.54914
3/1/1988,-2.00346
4/1/1988,-4.08253
5/1/1988,2.6643
6/1/1988,-0.51903
7/1/1988,-0.96618
8/1/1988,-1.93171
9/1/1988,-2.44064
10/1/1988,0.7138
11/1/1988,1.50523
12/1/1988,7.04881
1/1/1989,-6.71512
2/1/1989,-2.32403
3/1/1989,-2.08617
4/1/1989,9.30233
5/1/1989,-4.8159
6/1/1989,-5.86936
7/1/1989,2.30359
8/1/1989,12.82229
9/1/1989,-5.3776
10/1/1989,-13.6124
11/1/1989,-1.52223
12/1/1989,1.56872
1/1/1990,20.62081
2/1/1990,-12.14241
3/1/1990,0.97398
4/1/1990,-1.36591
5/1/1990,-1.89878
6/1/1990,0.90228
7/1/1990,-0.56249
8/1/1990,-1.5012
9/1/1990,3.26167
10/1/1990,-3.86453
11/1/1990,-4.49455
12/1/1990,-1.35901
1/1/1991,-8.70729
2/1/1991,4.9931
3/1/1991,3.62218
4/1/1991,-6.26982
5/1/1991,3.76321
6/1/1991,1.91524
7/1/1991,1.89524
8/1/1991,-3.06074
9/1/1991,4.35557
10/1/1991,-6.78821
11/1/1991,2.9047
12/1/1991,0.45293
1/1/1992,-0.42673
2/1/1992,2.67648
3/1/1992,-0.83478
4/1/1992,-2.23952
5/1/1992,4.46791
6/1/1992,3.55365
7/1/1992,-5.3841
8/1/1992,0.15873
9/1/1992,3.91442
10/1/1992,1.93686
11/1/1992,-3.06703
12/1/1992,4.29079
1/1/1993,-2.37531
2/1/1993,-3.75199
3/1/1993,2.70121
4/1/1993,9.15574
5/1/1993,-0.16157
6/1/1993,-0.16887
7/1/1993,-0.31717
8/1/1993,-6.13024
9/1/1993,3.01296
10/1/1993,6.7783
11/1/1993,-0.43827
12/1/1993,0.96293
1/1/1994,2.42523
2/1/1994,1.05753
