date,sugar
Sep-00,9.86
Oct-00,10.41
Nov-00,9.51
Dec-00,9.72
Jan-01,10.06
Feb-01,9.36
Mar-01,8.72
Apr-01,8.05
May-01,8.96
Jun-01,8.74
Jul-01,8.54
Aug-01,7.9
Sep-01,7.16
Oct-01,6.6
Nov-01,7.28
Dec-01,7.41
Jan-02,7.31
Feb-02,5.68
Mar-02,5.92
Apr-02,5.18
May-02,5.61
Jun-02,5.25
Jul-02,5.79
Aug-02,5.86
Sep-02,6.41
Oct-02,7.02
Nov-02,7.3
Dec-02,7.51
Jan-03,7.89
Feb-03,8.35
Mar-03,7.84
Apr-03,7.26
May-03,7.01
Jun-03,6.4
Jul-03,6.73
Aug-03,6.71
Sep-03,6.27
Oct-03,6.1
Nov-03,6.19
Dec-03,6.34
Jan-04,6.03
Feb-04,5.87
Mar-04,6.5
Apr-04,6.86
May-04,6.62
Jun-04,7.51
Jul-04,8.17
Aug-04,7.88
Sep-04,8.67
Oct-04,8.96
Nov-04,8.67
Dec-04,8.8
Jan-05,8.92
Feb-05,9.32
Mar-05,8.9
Apr-05,8.53
May-05,8.51
Jun-05,9.03
Jul-05,9.6
Aug-05,9.88
Sep-05,10.81
Oct-05,11.61
Nov-05,11.81
Dec-05,13.93
Jan-06,16.19
Feb-06,18.05
Mar-06,17.08
Apr-06,17.46
May-06,16.9
Jun-06,15.69
Jul-06,15.86
Aug-06,12.98
Sep-06,12.31
Oct-06,11.51
Nov-06,11.73
Dec-06,11.7
Jan-07,10.9
Feb-07,10.57
Mar-07,10.37
Apr-07,9.59
May-07,9.09
Jun-07,9.26
Jul-07,9.9
Aug-07,9.61
Sep-07,9.85
Oct-07,9.99
Nov-07,9.9
Dec-07,10.45
Jan-08,11.66
Feb-08,13.61
Mar-08,12.88
Apr-08,12.52
May-08,10.93
Jun-08,12.07
Jul-08,13.21
Aug-08,13.68
Sep-08,14.02
Oct-08,11.7
Nov-08,11.83
Dec-08,11.32
Jan-09,12.24
Feb-09,13.31
Mar-09,12.93
Apr-09,13.47
May-09,15.47
Jun-09,16.58
Jul-09,17.8
Aug-09,21.72
Sep-09,23.45
Oct-09,23.16
Nov-09,22.77
Dec-09,24.9
Jan-10,21.91
Feb-10,21.98
Mar-10,18.15
Apr-10,16.89
May-10,15.11
Jun-10,16.3
Jul-10,17.69
Aug-10,18.6
Sep-10,22.67
Oct-10,26.94
Nov-10,26.42
Dec-10,28.04
Jan-11,29.74
Feb-11,29.31
Mar-11,25.9
Apr-11,23.9
May-11,21.84
Jun-11,24.92
Jul-11,29.47
Aug-11,28.87
Sep-11,26.64
Oct-11,26.3
Nov-11,24.52
Dec-11,23.42
Jan-12,24.02
Feb-12,23.42
Mar-12,23.79
Apr-12,22.48
May-12,20.27
Jun-12,20.1
Jul-12,22.76
Aug-12,20.56
Sep-12,20.21
Oct-12,20.39
Nov-12,19.31
Dec-12,19.2
Jan-13,18.85
Feb-13,18.21
Mar-13,18.34
Apr-13,17.66
May-13,17.43
Jun-13,16.96
Jul-13,17.1
Aug-13,17.24
Sep-13,17.62
Oct-13,18.81
Nov-13,17.75
Dec-13,16.54
Jan-14,15.71
Feb-14,16.89
Mar-14,17.89
Apr-14,18.21
May-14,18.24
Jun-14,18.24
Jul-14,18.73
Aug-14,17.72
Sep-14,16.54
Oct-14,16.48
Nov-14,15.88
Dec-14,14.99
Jan-15,15.06
Feb-15,14.51
Mar-15,12.84
Apr-15,12.91
May-15,12.7
Jun-15,12.11
Jul-15,11.88
Aug-15,10.67
